Player Name,Transfer Origin,Transfer Destination,League,Status,Details
Matteo Meschiari,Campi Reali Cantú,Essence Hotels Fano,Italy,Done Deal,Outside Hitter from Italy
Lyvan Taboada Díaz,Jakarta Garuda Jaya,Volley Schönenwerd,Indonesia,Done Deal,Setter from Cuba
Sebastián Pozo Hernández,Lycurgus Groningen,Volley Schönenwerd,Netherlands,Done Deal,Outside Hitter from Finland
Giulio Pinali,Delta Volley Porto Viro,Essence Hotels Fano,Italy,Done Deal,Opposite from Italy
Stanisław Chaciński,Ohio State Univ.,Loyola Chicago Univ.,USA,Done Deal,Outside Hitter from Poland
Swan Legrand,LISSP Calais,Montpellier Volley CFC,France,Done Deal,Libero from France
Swan Legrand,LISSP Calais,Montpellier Volley,France,Done Deal,Libero from France
Damyan Kolev,Levski Sofia,Barock Volleys MTV Ludwigsburg,Bulgaria,Done Deal,Libero from Bulgaria
Juan Manuel Giulietti,River Plate,ConectaBalear CV Manacor,Argentina,Done Deal,Setter from Argentina
Pablo Denis Cabañas,Volley Näfels,ConectaBalear CV Manacor,Switzerland,Done Deal,Opposite from Argentina
Giuliano Turcitu,River Plate,ConectaBalear CV Manacor,Argentina,Done Deal,Outside Hitter from Argentina
Sergio Soria,Ciudad Vóley,CV Playas de Benidorm,Argentina,Done Deal,Middle-blocker from Argentina
Mohammad Hossein Charkhluyi,Azerrail Baku,OK Metalac Takovo,Azerbaijan,Done Deal,Outside Hitter from Iran
Martin Odermatt,NNV Volley Talents Argovia,Volley Schönenwerd,Switzerland,Done Deal,Outside Hitter from Switzerland
Noe Hofer,VBC Sursee,Volley Schönenwerd,Switzerland,Done Deal,Opposite from Switzerland
Manuel Baumann,TV Schönenwerd II,Volley Schönenwerd,Switzerland,Done Deal,Libero from Switzerland
David Blum,TV Schönenwerd II,Volley Schönenwerd,Switzerland,Done Deal,Middle-blocker from Switzerland
Nikolay Kotevski,Saint Xavier University,Beroe 2016,USA,Done Deal,Middle-blocker from Bulgaria
Gabriel Rumenov,Dunav Ruse,Beroe 2016,Bulgaria,Done Deal,Outside Hitter from Bulgaria
Niko Indzeliev,Dunav Ruse,Beroe 2016,Bulgaria,Done Deal,Setter from Bulgaria
Victor Alcântara,VK ČEZ Karlovarsko,Deya Volley,Czech Republic,Done Deal,Middle-blocker from Brazil
Florian Schnidrig,Colombier Volley II,Colombier Volley,Switzerland,Done Deal,Setter from Switzerland
David Korica,Vojvodina Mozzart Novi Sad,Missouri Baptist Univ.,Serbia,Done Deal,Middle-blocker from Serbia
Milad Ebadipour,Steam Hemarpol Politechnika Częstochowa,AONS Milon,Poland,Done Deal,Outside Hitter from Iran
Vaggelis Markakis,Panathinaikos Athens U21,Warner University,Greece,Done Deal,Outside Hitter from Greece
Felix Hallernäs,St. Thomas Aquinas College,Lunds VK,USA,Done Deal,Outside Hitter from Sweden
Leonardo Canenti,Maia Pallavolo Cascia,Conad Pala Terni Volley Academy,Italy,Done Deal,Libero from Italy
Simone Oberto,Cuneo Volley,Conad Pala Terni Volley Academy,Italy,Done Deal,Libero from Italy
Massimiliano Matani,Sarroch Volley,Conad Pala Terni Volley Academy,Italy,Done Deal,Middle-blocker from Italy
Michele Severini,Sir Safety Perugia B,Conad Pala Terni Volley Academy,Italy,Done Deal,Middle-blocker from Italy
